QUESTION,BT LEVEL
"A five-year, RM1,000 par value bond with a 6 percent semi-annual coupon is trading at current yield of 4 percent. Compute the duration of the bond. ",Application
"Based on your knowledge, describe TWO (2) foreign bonds that are well known in the market. ",Knowledge
Analyze THREE (3) factors that can affect the option premium. ,Analysis
Briefly explain THREE (3) main sources of banks earnings.,Comprehension
Describe THREE (3) deposit liabilities for commercial banks. ,Knowledge
"New issues are called primary issues, that reflect to the first issued of security in the primary market. Elaborate the steps of bringing a new security to the market. ",Comprehension
The Glass-Steagall Act of 1933 (Banking Act) restricted the asset powers of commercial banks in US to low-risk underwriting areas. List FOUR (4) requirements under Glass-Steagall Act of 1933.,Knowledge
Briefly explain what a Repo is. ,Comprehension
Elaborate THREE (3) channels of the transmission process for monetary policy. ,Comprehension
Illustrate the effect of an expansionary monetary policy. Justify your answer with an appropriate diagram. ,Evaluation
Define federal fund market. Explain in detail its importance to a bank. ,Comprehension
Explain FOUR (4) types of unemployment.,Comprehension
"Compute the duration for a five-year bond, RM1,000 par value bond with a 7 percent annual coupon which is trading at yield to maturity of 5 percent. ",Application
Identify THREE (3) types of securities that are issued by Malaysian government. Explain each in detail. ,Comprehension
Discuss FOUR (4) economic roles of money market. ,Comprehension
The Glass-Steagall Act of 1933 and the Financial Services Modernization Act of 1999 created impact on commercial banks and investment banks in the US. Explain each act in detail. ,Comprehension
Explain FOUR (4) off-balance-sheet banking activities which are important but not recorded in a bank's balance sheet. ,Comprehension
"If the value of the bond is RM900 and coupon are paid semi-annually, compute the yield to maturity (YTM) and the current yield of the bond. Interpret your answers. ",Application
Explain the relationship between bond price and market interest rate using the bond pricing formula. ,Comprehension
"Differentiate bonds that are traded at par, premium and discount.",Analysis
Illustrate by using appropriate diagram(s) the effects of the most commonly and the least used monetary policy tool on the market interest rate if the central bank implements the expansionary monetary policy.,Comprehension
Vince longs a put option on Junebank's stock with a strike price at RM13. Currently Junebank's stock is priced at RM15 and the option premium is RM1.50. Advise Vince whether or not to exercise the option. Justify your answer. ,Evaluation
"""The monetary policy is always useful in stimulating the economic growth by increasing the money supply in the market."" Comment on this statement. Support your answer with an appropriate diagram. ",Evaluation
“China has been practicing low exchange rate for previous decades.” Clarify the pros and cons under this practice. ,Analysis
Explain the Securities Act of 1933 and the Securities Exchange Act of 1934. ,Comprehension
Differentiate between commercial letter of credit and standby letter of credit. ,Analysis
Draw an expiry profit diagram for the GCB bank’s position. ,Comprehension
Explain the profit and loss for Alice and GCB bank. ,Comprehension
Elaborate FIVE (5) factors that will influence the demand and supply of a currency. ,Comprehension
"By using an appropriate diagram, explain how the open market operation (OMO) can put an upward pressure on the federal fund rate (FFR).",Comprehension
Banks act as an important institution in the financial system. Briefly explain what a bank run is and provide THREE (3) causes that lead to its occurrence. ,Comprehension
Explain what a junk bond is and its role in the financial market. ,Comprehension
Suggest and explain TWO (2) ways to measure a bank's profitability. ,Synthesis
"""An increase in the money supply will lead to an increase in the market equilibrium interest rate.” Comment and justify the above statement with an appropriate diagram. ",Evaluation
Differentiate primary and secondary reserves of a bank. List THREE (3) examples for each reserve. ,Analysis
“The US dollar hit its highest levels in years shortly after Donald Trump won the presidential election in November 2016.” The statement above refers to the strong dollar scenario. Explain the pros and cons under this scenario. ,Analysis
Explain Eurocurrency and its market. ,Comprehension
Stock market serves as an important predictor of economic activities. Explain how the stock market values can predict real economic activity. ,Comprehension
Explain the differences between forward and futures contract. ,Comprehension
Discuss ONE (1) limitation and benefit of duration. ,Comprehension
"Justify the following statement: “The value of a putable bond is never greater than the value of an otherwise comparable option-free bond.""",Evaluation
"Define and discuss the Sharpe, Treynor, and Jensen measures of portfolio performance evaluation by identifying the situations in which each measure is the most appropriate measure. ",Application
Briefly explain FOUR (4) advantages and disadvantages of option trading. ,Comprehension
"The correlation between the S&P 500 index fund and the emerging market fund is zero. Consider portfolio A, which consists of 80% of the S&P index fund and 20% of the emerging-market fund. Calculate portfolio A's expected return and standard deviation. ",Application
Explain FOUR (4) benefits of mutual fund investment. ,Comprehension
Discuss the implications of Efficient Market Hypothesis for Technician (Chartist) and Fundamentalist. ,Comprehension
Consider a zero coupon bond with a par value of $1000 that has a current price of $436.19 and matures in 10 years. Compute its yield to maturity. ,Application
"Calculate Sharpe's measure for the AOV Portfolio and the market. Compare the TWO (2) measures, and assess the performance of the AOV's portfolio during the year just ended. ",Application
"Calculate Treynor's measure for AOV's Portfolio and the market. Compare the TWO (2) measures, and assess the performance of the AOV's portfolio during the year just ended. ",Application
Calculate Jensen's measure (Jensen's alpha). Use it to assess the performance of the AOV's Portfolio during the year just ended. ,Application
Describe characteristics and importance of secondary market.,Comprehension
"""Portfolio management strategies are different based on investor's risk preferences and expected return”. Based on above statement, briefly discuss TWO (2) major portfolio management strategies. ",Comprehension
Distinguish between stock dividend and stock split by providing one relevant example. ,Analysis
The option's premium represents the price of the option that change over time. Discuss FOUR (4) factors that affecting premium of an option.,Comprehension
"""Trading strategies used by investors of futures and forwards markets help to maintain market efficiency"". Based on the above statement, Differentiate between all THREE (3) main trading strategy used by futures and forward markets' investors.. ",Analysis
Define put-call parity. Discuss its implications and how arbitrageurs could take advantage of arbitrage opportunities for both options. ,Comprehension
Identify and elaborate FOUR (4) determinants of an option's premium.,Comprehension
Discuss THREE (3) differences between futures and forward contracts.,Comprehension
"Market anomalies are research findings that do not support market efficiency hypothesis; that is, they are evidence that inefficiencies do exist. Discuss FIVE (5) common market anomalies. ",Comprehension
"“The efficient market hypothesis (EMH) states it is impossible to consistently outperform an efficient market and the only way an investor can possibly obtain higher returns is by purchasing riskier investments."" Justify the statement. ",Evaluation
Discuss TWO (2) key differences between stock warrants and stock options. ,Comprehension
"Explain the trading behavior of hedger, speculator and arbitrageur.",Comprehension
Determine the intrinsic value of KMK Corporation's common stock. ,Application
"Suggest your recommendation on the investment of KMK Corporation's common stock, if the stock price is traded at $25 currently. ",Synthesis
Explain why contango and backwardation happen in the commodity market. ,Comprehension
A bond fund manager decided to allocate certain percentage of the portfolio in foreign bond market to improve the reward-to-risk ratio. Briefly explain THREE (3) specific risks related to investing in international bond market. ,Comprehension
Determine the Macaulay duration and estimate the bond price if the yield increases by 100 basis points. ,Application
Daniel Kahneman and Amos Tversky believe that many stock investors are far from fully rational. Explain FOUR (4) common factors that create irrational market behavior. ,Comprehension
Discuss the potential profit and loss for the long straddle. ,Comprehension
"""Instead of focusing only on investing in local market, some investors also invest in foreign market"". Justify above statement by providing FOUR (4) benefits of investing in foreign market. ",Evaluation
"""Portfolio management strategies are different based on the investor's risk preferences and expected return"". Based on above statement, explain TWO (2) major portfolio management strategies. ",Comprehension
Distinguish between stock dividend and stock split by providing one relevant example. ,Analysis
"Discuss in detail the Sharpe, Treynor, and Jensen measures of portfolio performance evaluation, by identifying the situations in which each measure is the most appropriate measure. ",Application
"""Investment strategies used by the investors of futures and forward markets help to maintain market efficiency"". Based on the above statement, differentiate THREE (3) main investment strategies used by futures and forward markets' investors. ",Analysis
Provide arguments on how these investment strategies help in maintaining market efficiency. ,Comprehension
Describe characteristics and importance of secondary market. ,Comprehension
Discuss FOUR (4) reasons why Capital Asset Pricing Model (CAPM) is not the best model to estimate returns. ,Comprehension
"“Instead of focusing only on investing in local market, some investors also invest in foreign market”.  Justify above statement by providing FOUR (4) benefits of investing in foreign market. ",Evaluation
Discuss in detail the THREE (3) major asset allocation strategies in managing portfolio. ,Comprehension
"According to many researchers, market inefficiencies do exist in most of the stock markets in the world and also known as market anomalies. This situation is contradicted to market efficiency hypothesis. Describe SIX (6) market inefficiencies that commonly happen in the stock markets. ",Comprehension
Discuss FOUR (4) risks involved in trading US-dollar denominated crude palm oil futures contract (FUPO). ,Comprehension
Define and explain reinvestment risk with an example. ,Comprehension
Define Put-Call Parity and express it in equation. ,Comprehension
Audit committee is responsible to implement and support the monitoring function of the board of directors. Develop a list of best practices for audit committee meeting. ,Synthesis
Nomination committee plays a crucial role in ensuring the continuity of the board of directors into the future. Analyse the functions of nomination committee in the context of corporate governance. ,Analysis
Majority shareholders may be opportunistic at the expense of minority  shareholders due to their controlling stake in the company. Explain majority agency problem in the context of corporate governance. ,Comprehension
Shareholder activism is an important governance mechanism because this is how minority shareholders exercise and enforce their rights. Comment on the effectiveness of shareholder activism. ,Evaluation
There are several corporate governance tools available for institutional shareholders activism. Differentiate shareholder resolution and proxy voting,Analysis
Malaysian Code on Corporate Governance (2012) stipulates that there should  not be any domination of power by any individual in the board. Responsibilities of the CEO and the Chairperson must be clearly defined and separated in order to ensure a balance of power and authority. Evaluate the advantages and disadvantages of CEO duality.,Evaluation
"Company directors remain the most important group of people who monitor 
and control the company on behalf of the shareholders. Explain the SIX (6) roles of company directors.",Comprehension
Independent Non-Executive Directors (INEDs) play crucial roles in the  assurance of effective corporate governance of public listed companies. Provide an assessment on the contributions of INEDs in promoting effective corporate governance. ,Comprehension
"Being outside directors, Independent Non-Executive Directors (INEDs) do not work in the company on a daily basis. Their hands are tied due to the nature of their positions. Provide an assessment on the limitations of INEDs in the context of corporate governance ",Comprehension
"Internal control system is among the most prominent monitoring mechanisms in promoting effective corporate governance. Assuming you are the manager of purchasing department, provide TWELVE (12) recommendations on how to prevent staffs from making personal gains from their positions.",Synthesis
"One of the biggest challenges in corporate governance is to deal with manipulation of accounting profits. Propose NINE (9) suggestions to the Malaysian regulatory bodies on how to prevent manipulation of accounts. Your recommendations have to be new and must not overlap with the existing Malaysian laws, guidelines and systems. ",Synthesis
"Company director can be removed by the shareholders during general meetings. However, the office of a director can become vacant under certain circumstances. Discuss FOUR (4) criteria for vacation of office.",Comprehension
"Director independence is a pivotal element of corporate governance. Illustrate the requirements of ""Persons Connected with Directors"" as stipulated under Companies Act 2016 Section 197(1). ",Comprehension
"Related party transaction is a transaction entered into by a PLC or its subsidiaries, which involved the interest of the related party. Justify the reasons for disclosure of related party transaction. ",Evaluation
Short term and long term incentives have their own merits in promoting corporate performance. Compare and contrast the problems associated with both short term and long term incentives. ,Analysis
The Higgs Report (2003) is among the first report that discusses the importance of Senior Independent Non-Executive Director (Senior INED). Analyse the rationales of having Senior INED in a company. ,Analysis
Companies must take reasonable steps to ensure that their investors enjoy equal access to material information. Briefly describe SIX (6) corporate disclosure policies under Main Market Listing Requirements (MMLR). ,Knowledge
The scope of institutional shareholder activism includes attempts made to bring about changes in a company's behavior for adoption of good governance practices. Differentiate shareholder resolution and proxy voting as the two major tools for institutional shareholder to promote corporate governance. ,Analysis
The independence of external auditors is extremely critical due to their roles in providing true and fair view on a company financial position. Develop THREE (3) safeguards to reduce the threats on external auditors' independence. ,Synthesis
Managing and engaging stakeholders have gained important grounds in corporate decision making. Provide your justifications for companies to adopt stakeholder model. ,Comprehension
There is always an appeal for institutional shareholders to assume an active role in corporate governance. Create a list of key recommendations for institutional shareholders activism based on Myners Report (1995).,Synthesis
Malaysian Code on Corporate Governance (MCCG 2017) encourages Board of Directors to improve shareholders' participations in decision making. Provide recommendations that will lead to more constructive use of Annual General Meeting (AGM). ,Synthesis
Institutional shareholders do not always fare better than the minority shareholders in promoting shareholder activism. Assess the impediments of institutional shareholder activism. ,Evaluation
Criticize the issues in Principal – Agent Theory.,Analysis
State and discuss the approach as prescribed in Malaysian Code on Corporate Governance (MCCG) 2017. ,Comprehension
"List FIVE (5) suggestions on how Malaysian public listed company director in Malaysia can perform  'Duty to use Reasonable Care, Skill & Diligence'. ",Knowledge
State 'corporate governance' definition as mentioned in Cadbury Report (1992). Explain Malaysian Code on Corporate Governance (MCCG) 2017 “corporate governance' definition in details. ,Comprehension
Suggest FIVE (5) actions that Public Mutual Berhad (PMB) can consider in championing the institutional shareholder activism. ,Synthesis
Explain the criteria to be a substantial shareholder in Malaysia. Illustrate what and when a substantial shareholder of a listed company need to comply when he/she holds the directorship in it. ,Evaluation
Highlight the important issues discussed in Greenbury Report 1995. ,Comprehension
Evaluate the characteristics of the board in a two-tier board structure. ,Evaluation
Identify FIVE (5) conditions that one needs to meet in order to be an independent director in Malaysian public listed company (PLC).,Knowledge
Discuss the components that are integral to the internal control framework in a public listed company. ,Comprehension
Construct an executive remuneration package using the remuneration framework as a guide. ,Application
Provide justifications as to why integrity and reliability is important in a company's annual report and accounts (ARAS) from corporate governance point of view.,Evaluation
"The internet has been considered as a low cost option for selling products and services. From a firm's perspective, explain FOUR (4) factors that add to the cost of doing business on the internet. ",Comprehension
“Firms can use existing brand names or create new brands on the internet”. Evaluate on the above statement. ,Evaluation
"Discuss the level of trust consumers place in digital media, and how that trust helps or hinders e-marketers. ",Comprehension
"Discuss the role of an infomediary in the online distribution system and evaluate the benefits of this type of distribution system to the consumer, infomediary and advertiser. ",Evaluation
"Search engines are key means of attracting traffic to websites. As a new marketing executive with Munchy's Malaysia, recommend THREE (3) tactics used in search engine marketing (SEM). ",Synthesis
"Discuss the adoption issues surrounding Facebook and internet, as well as their implications for e-marketers. ",Comprehension
Define social commerce and discuss its advantages for e-marketers.,Comprehension
Information technology can be expensive. Identify and explain FIVE (5) factors that put upward pressure on internet pricing for online retailer. ,Comprehension
"""Firms can use existing brand names or create new brands on the internet"". Evaluate the above statement. ",Evaluation
"Media planners want both effective and efficient media buys. In your role as a new media planner of a digital marketing agency, explain how would you know you have made an effective advertising buy over the internet. ",Comprehension
The internet increases customer benefits in many ways that have revolutionised marketing practices. Discuss with examples THREE (3) ways in which internet increases customer benefits from products offered online.,Comprehension
"CRM technology helps companies to collect information about consumer behaviour, conversations and characteristics. As a new digital marketing manager with an online retailer, suggest FIVE (5) ways how you can collect data and push customised information to customers. ",Synthesis
Market research firms and product review sites are examples of infomediary. Discuss the role and benefits of an infomediary model in the online distribution system. ,Comprehension
E-mail marketing has evolved rapidly alongside the technological growth of the 21st century. Discuss FIVE (5) reasons why e-mail marketing is still a growth area in digital marketing. ,Comprehension
The 'creators' and critics' are the most desired social segments. Explain how social media marketers are able to increase these segments' level of involvement in the social media. ,Comprehension
The internet is ideal for gathering people from all corners of the globe into communities with similar interests and tasks. Recommend THREE (3) ways that can be used to target online communities. ,Synthesis
An important step in Search Engine Optimization (SEO) is to identify relevant keywords for your website. Suggest THREE (3) offline keyword research methods and TWO (2) online keyword research methods in your keyword research efforts. ,Synthesis
"Assume that you have been assigned to run a Google Ads search advertising campaign for a new café in Kampar, Perak. Recommend FIVE (5) strategies to develop a successful search advertising campaign for the café.",Synthesis
Standard ad formats such as leaderboard and skyscraper are common in digital display advertising. Propose FIVE (5) other creative ad formats which are more interactive and engaging. ,Synthesis
You have been assigned by your employer to manage their Instagram and Facebook business page. Suggest FIVE (5) ways to increase engagement with your social media users. ,Synthesis
E-mail newsletters are still popular communication strategy for digital marketers. Suggest FIVE (5) ways to engage with your newsletters subscribers. ,Synthesis
Describe the THREE (3) roles for social media in branding.,Knowledge
"Using Tom Duncan's levels of brand relationship intensity, explain the relationship between Apple iPhone and its customers.",Comprehension
You are the new online advertising consultant for Loreal Malaysia. Explain to your client SEVEN (7) important paid media metrics in online advertising.,Comprehension
“Millennials and kids are important market segments for e-marketers”. Discuss on the above statement. ,Comprehension
Briefly analyse the SIX (6) internal control procedures over the payroll process of a multinational organisation. ,Analysis
"With respect to the data processing cycle of an organisation, explain the ""garbage in, garbage out"". Briefly discuss on the measures to be taken by the companies to avoid “garbage in"" data input errors. ",Comprehension
Name and briefly discuss the EIGHT (8) documents used in the purchase and cash disbursement process of a company. ,Comprehension
Briefly explain any TWO (2) advantages of real time data processing in the sales and cash receipt system. ,Comprehension
Describe the THREE (3) elements of problem structure of a company. Contrast a structured problem to an unstructured problem. Discuss briefly which levels of management typically deal with structured problems and with unstructured problems. ,Analysis
Briefly discuss the key segregation of duties that should exist in the traditional manufacturing environment. ,Comprehension
"By drawing appropriate diagrams, differentiate between flat file model and database model. ",Analysis
Briefly explain the SIX (6) key activities involved in the conversion cycle of a manufacturing company. ,Comprehension
Differentiate between general controls and application controls. Provide ONE (1) example for each. ,Analysis
Briefly explain Financial Reporting System (FRS) and identify THREE (3) potential risks in FRS. ,Comprehension
Cost benefit analysis is a process that helps management determine whether (and by how much) the benefits exceed costs. Briefly explain FOUR (4) intangible benefits. ,Comprehension
Discuss the advantages of real-time data input and over batch processing in expenditure cycle. ,Comprehension
Define Information Systems (IS). ,Knowledge
